,TCUID,Company,Country,ISIN,GICS Sector Name,Carbon-Scope 1  (tonnes CO2e),Carbon-Scope 2  (tonnes CO2e),Carbon-Scope 3 (tonnes CO2e),Carbon Intensity-Scope 1 (tonnes CO2e/USD mn),Carbon Intensity-Scope 2 (tonnes CO2e/USD mn),Carbon Intensity-Scope 3 (tonnes CO2e/USD mn),Carbon Disclosure,Revenue (USD mn)
13300,44130,SSE plc,UNITED KINGDOM,GB0007908733,Utilities,8260000.0,646002.0,944328.902,955.705,74.744,109.261,Exact Value from CDP,8642.83647161711
13316,44131,Severfield Plc,UNITED KINGDOM,GB00B27YGJ97,Industrials,5637.45,3695.91,75976.452,13.55,8.883,182.616,Value derived from data provided in CDP,416.0441
13332,44132,Tesco PLC,UNITED KINGDOM,GB00BLGZ9862,Consumer Staples,1252038.0,1600909.249,7168445.057,16.87,21.57,96.587,Value derived from data provided in CDP,74217.85423619188
13347,44133,Whitbread PLC,UNITED KINGDOM,GB00B1KJJ408,Consumer Discretionary,70171.0,85816.0,185163.222,26.511,32.422,69.957,Value summed up from data provided in Annual Report/Financial Accounts Disclosure,2646.8144
13362,44135,BT Group plc,UNITED KINGDOM,GB0030913577,Communication Services,182589.136,720910.769,1272483.732,6.272,24.765,43.713,Exact Value from CDP,29109.766533059526
13377,44137,Marks and Spencer Group plc,UNITED KINGDOM,GB0031274896,Consumer Discretionary,172812.0,165563.095,878027.493,13.349,12.789,67.823,Value derived from data provided in CDP,12945.833415653155
13391,44138,Land Securities Group PLC,UNITED KINGDOM,GB00BYW0PQ60,Real Estate,9185.022,25382.0,28752.397,9.753,26.953,30.531,Exact Value from CDP,941.7305
13407,44139,NEXT plc,UNITED KINGDOM,GB0032089863,Consumer Discretionary,45739.0,60440.0,352869.842,8.391,11.088,64.733,Value derived from data provided in CDP,5451.157214830628
13423,44141,Kingfisher plc,UNITED KINGDOM,GB0033195214,Consumer Discretionary,148654.0,146922.683,1022812.763,10.106,9.988,69.535,Exact Value from CDP,14709.4127
13471,44146,Bank Of Ireland Group plc,IRELAND,IE00BD1RP616,Financials,5579.0,9921.189,44055.105,3.246,5.772,25.633,Value derived from data provided in CDP,1718.715938435017
14234,44219,Johnson Controls International plc,IRELAND,IE00BY7QL619,Industrials,549358.0,331282.825,5070268.218,24.616,14.844,227.193,Exact Value from CDP,22317.000425662995
14951,44280,Fresenius Medical Care AG & Co. KGaA,GERMANY,DE0005785802,Health Care,242200.0,527200.0,1396935.322,11.899,25.901,68.63,Value derived from data provided in Annual Report/Financial Accounts Disclosure,20354.54656738401
14964,44281,MAN SE,GERMANY,DE0005937007,Industrials,90950.137,133925.647,3639910.656,7.363,10.842,294.672,Exact Value from Environmental/CSR,12352.4164
14978,44282,Allianz SE,GERMANY,DE0008404005,Financials,31475.0,181092.6,3291287.75,0.235,1.352,24.57,Value derived from data provided in CDP,133953.84810345207
14993,44283,Autogrill S.p.A.,ITALY,IT0001137345,Consumer Discretionary,14195.0,88298.954,439599.675,5.621,34.965,174.072,Value derived from data provided in Annual Report/Financial Accounts Disclosure,2525.388653693576
15009,44285,Banca Monte dei Paschi di Siena S.p.A.,ITALY,IT0005508921,Financials,11611.85,33905.635,55890.324,4.594,13.413,22.11,Value derived from data provided in Environmental/CSR,2527.811724041794
15024,44286,Unione di Banche Italiane S.p.A.,ITALY,IT0003487029,Financials,13026.0,30563.0,48504.929,6.622,15.537,24.659,Value derived from data provided in Environmental/CSR,1967.063618168051
15039,44287,Banco BPM S.p.A.,ITALY,IT0005218380,Financials,12137.0,33239.0,64538.803,4.117,11.274,21.89,Value summed up from data provided in Environmental/CSR,2948.258976102149
15071,44289,ageas SA/NV,BELGIUM,BE0974264930,Financials,9793.0,2779.0,342959.835,0.695,0.197,24.326,Value derived from data provided in Environmental/CSR,14098.48553141856
15087,44290,Julius Baer Group,SWITZERLAND,CH0102484968,Financials,1957.0,3962.0,85135.694,0.513,1.038,22.309,Value derived from data provided in Environmental/CSR,3816.260612768795
15103,44291,Kudelski SA,SWITZERLAND,CH0012268360,Information Technology,23018.733,9898.892,94558.848,31.554,13.57,129.623,Estimated data,729.492
15139,44294,The Swatch Group AG,SWITZERLAND,CH0012255151,Consumer Discretionary,15890.0,120471.257,853789.347,2.667,20.216,143.275,Value derived from data provided in Environmental/CSR,5959.079551186073
15152,44295,Swiss Life Holding AG,SWITZERLAND,CH0014852781,Financials,5423.0,1314.101,566314.418,0.235,0.057,24.498,Value derived from data provided in CDP,23116.329897688367
15167,44303,BNP Paribas SA,FRANCE,FR0000131104,Financials,49041.0,233835.262,1083858.676,1.087,5.183,24.022,Value derived from data provided in CDP,45119.71409548802
15179,44305,Clariant AG,SWITZERLAND,CH0012142631,Materials,392520.0,410104.179,1274913.041,95.476,99.753,310.109,Exact Value from CDP,4111.179199177764
15194,44306,Commerzbank AG,GERMANY,DE000CBK1001,Financials,28313.0,77903.092,161814.348,3.786,10.418,21.639,Value derived from data provided in CDP,7477.782259191702
15222,44308,Edison S.p.A.,ITALY,IT0003372205,Utilities,6290339.801,72969.602,1385930.748,863.715,10.019,190.3,Exact Value from Environmental/CSR,7282.887873156985
15235,44309,Lonza Group AG,SWITZERLAND,CH0013841017,Health Care,1076550.0,300628.0,434852.113,224.218,62.613,90.569,Exact Value from CDP,4801.3461
15251,44310,Saipem SpA,ITALY,IT0005495657,Energy,1122800.0,19200.0,1978028.664,134.179,2.294,236.383,Exact Value from Environmental/CSR,8367.91274535139
15266,44311,SGS SA,SWITZERLAND,CH0002497458,Industrials,98274.0,207026.378,249997.554,16.465,34.686,41.885,Exact Value from CDP,5968.665199403134
15280,44312,UBS Group AG,SWITZERLAND,CH0244767585,Financials,9972.0,136547.717,919263.692,0.308,4.216,28.385,Value derived from data provided in CDP,32386.0
15295,44315,Metsa Board OYJ,FINLAND,FI0009000665,Materials,243059.491,378692.986,532518.077,112.866,175.848,247.278,Exact Value from Annual Report/10K/Financial Accounts Disclosure,2153.5238
15311,44316,Holmen AB (publ),SWEDEN,SE0011090018,Materials,79064.0,27197.0,488124.52,43.495,14.962,268.529,Exact Value from CDP,1817.773533371683
15327,44317,QIAGEN N.V.,NETHERLANDS,NL0012169213,Health Care,11007.054,16518.104,179141.764,5.885,8.832,95.782,Exact Value from Annual Report/10K/Financial Accounts Disclosure,1870.3
15343,44318,"Bankinter, S.A.",SPAIN,ES0113679I37,Financials,1152.934,468.4,33471.659,0.799,0.324,23.186,Value derived from data provided in CDP,1443.584668273902
15364,44320,Alpha Services and Holdings S.A.,GREECE,GRS015003007,Financials,1792.99,32638.044,34485.381,1.236,22.497,23.771,Value derived from data provided in CDP,1450.742185814373
15388,44322,Coca-Cola HBC AG,SWITZERLAND,CH0198251305,Consumer Staples,240338.87,314563.375,2642853.393,34.39,45.011,378.166,Exact Value from CDP,6988.6092
15404,44323,"Mapfre, S.A.",SPAIN,ES0124244E34,Financials,8165.703,25037.22,519813.986,0.387,1.187,24.638,Value derived from data provided in CDP,21097.92268473942
15417,44324,Dassault Systemes SA,FRANCE,FR0014003TT8,Information Technology,4629.0,15354.852,178201.036,0.912,3.026,35.118,Value derived from data provided in Annual Report/Financial Accounts Disclosure,5074.315053780096
15441,44326,PUMA SE,GERMANY,DE0006969603,Consumer Discretionary,17328.122,32333.851,1382891.673,2.905,5.42,231.803,Exact Value from CDP,5965.813698806838
15457,44328,Hannover Ruck SE,GERMANY,DE0008402215,Financials,13556.096,50598.62,642597.72,0.513,1.916,24.334,Estimate used instead of disclosure - data does not cover global operations,26407.705679796545
15469,44329,Publicis Groupe S.A.,FRANCE,FR0000130577,Communication Services,7351.0,40276.656,518547.024,0.598,3.276,42.174,Value derived from data provided in Annual Report/Financial Accounts Disclosure,12295.429391345464
15507,44333,Hellenic Telecommunications Organization S.A.,GREECE,GRS260333000,Communication Services,25410.0,279578.0,185955.366,6.841,75.271,50.065,Exact Value from CDP,3714.272916396866
15527,44337,"Acciona, S.A.",SPAIN,ES0125220311,Utilities,98194.0,107663.0,872967.026,11.865,13.009,105.482,Exact Value from CDP,8275.977323281972
15541,44338,ACS Actividades de Construccion y Servicios SA,SPAIN,ES0167050915,Industrials,2683671.0,183375.0,6995676.287,67.385,4.604,175.656,Value derived from data provided in Annual Report/Financial Accounts Disclosure,39825.94343886154
15557,44340,BIC,FRANCE,FR0000120966,Industrials,7659.0,70394.428,563216.304,4.128,37.941,303.558,Exact Value from CDP,1855.3812
15570,44342,CNP Assurances SA,FRANCE,FR0000120222,Financials,9000.72,31418.562,963503.651,0.227,0.793,24.326,Estimate based on partial data disclosure in Annual Report/10-K/Financial Accounts,39607.96836372263
15586,44345,"Indra Sistemas, S.A.",SPAIN,ES0118594417,Information Technology,1763.85,11161.0,152518.584,0.498,3.154,43.098,Exact Value from CDP,3538.86814700021
15601,44346,Red Electrica Corporacion SA,SPAIN,ES0173093024,Utilities,25557.0,602705.0,105323.734,10.974,258.791,45.224,Exact Value from CDP,2328.928557674792
15617,44347,"Fomento de Construcciones y Contratas, S.A.",SPAIN,ES0122060314,Industrials,6900204.0,604073.0,925806.975,959.862,84.03,128.786,Value derived from data provided in Environmental/CSR,7188.745961594846
15634,44349,"Promotora de Informaciones, S.A.",SPAIN,ES0171743901,Communication Services,619.0,5686.474,52570.871,0.775,7.121,65.833,Value derived from data provided in Environmental/CSR,798.542892539427
15650,44351,"Zardoya Otis, S.A.",SPAIN,ES0184933812,Industrials,103025.316,460.844,360618.186,115.573,0.517,404.539,Value summed up from data provided in Annual Report/Financial Accounts Disclosure,891.430483710781
15666,44353,Gecina,FRANCE,FR0010040865,Real Estate,6608.666,8808.342,27438.2,7.334,9.774,30.448,Exact Value from CDP,901.16
15682,44354,Hermes Intl,FRANCE,FR0000052292,Consumer Discretionary,18329.0,26991.0,1554602.407,2.517,3.706,213.48,Exact Value from CDP,7282.203957238291
15712,44357,Kerry Group plc,IRELAND,IE0004906560,Consumer Staples,450000.0,350000.0,3909973.912,56.782,44.164,493.371,Data approximated from chart/graph in Annual Report/10-K/Financial Accounts,7925.012867323518
15727,44360,OMV Aktiengesellschaft,AUSTRIA,AT0000743059,Energy,10747663.045,294367.0,7291399.922,569.788,15.606,386.554,Exact Value from CDP,18862.56612974347
15743,44361,Cattolica Assicurazioni SCRL,ITALY,IT0000784154,Financials,949.0,2051.0,142293.666,0.162,0.351,24.326,Value derived from data provided in Environmental/CSR,5849.446467991584
15759,44362,"Banco de Sabadell, S.A.",SPAIN,ES0113860A34,Financials,5541.481,5657.421,93048.641,1.329,1.356,22.309,Value summed up from data provided in Annual Report/Financial Accounts Disclosure,4170.963427252513
15775,44363,Corporacion Financiera Alba,SPAIN,ES0117160111,Financials,3057.663,6173.426,20660.012,11.392,23.0,76.973,Estimate used instead of disclosure - data does not cover global operations,268.406898873639
15788,44364,Titan Cement International S.A.,BELGIUM,BE0974338700,Materials,9993600.009,843040.42,1615231.548,5456.252,460.279,881.875,Exact Value from CDP,1831.587023004669
15804,44366,Umicore SA,BELGIUM,BE0974320526,Materials,330619.0,417481.971,7016104.485,14.007,17.687,297.244,Exact Value from CDP,23603.850847394086
15820,44368,Orange Belgium S.A.,BELGIUM,BE0003735496,Communication Services,6205.236,17927.789,74337.587,4.141,11.963,49.604,Derived from previous year,1498.633650190968
15832,44369,"Sacyr, S.A.",SPAIN,ES0182870214,Industrials,119657.23,301092.15,725789.364,23.081,58.08,140.002,Exact Value from CDP,5184.1331
15847,44370,A2A S.p.A.,ITALY,IT0001233417,Utilities,5855371.05,107439.0,888264.338,766.905,14.072,116.34,Value derived from data provided in Annual Report/Financial Accounts Disclosure,7635.065033438204
15867,44374,RCS MediaGroup S.p.A.,ITALY,IT0004931496,Communication Services,3583.065,15775.963,86611.201,4.195,18.468,101.391,Estimate used instead of disclosure - data does not cover global operations,854.229152625701
15882,44375,Natixis S.A.,FRANCE,FR0000120685,Financials,1708.738,21834.696,199186.701,0.239,3.053,27.851,Derived from previous year,7151.818642308513
15897,44376,Huhtamaki Oyj,FINLAND,FI0009000459,Materials,216000.0,469002.807,1244668.094,57.398,124.63,330.75,Exact Value from CDP,3763.167399623683
15913,44377,Kesko Oyj,FINLAND,FI0009000202,Consumer Staples,38538.0,128782.651,1023834.866,3.169,10.591,84.197,Value derived from data provided in CDP,12160.029598783996
15928,44378,Eurazeo SE,FRANCE,FR0000121121,Financials,577998.0,212078.0,718415.582,110.184,40.428,136.952,Value derived from data provided in Annual Report/Financial Accounts Disclosure,5245.764942042184
15944,44379,Eurobank Ergasias Services and Holdings S.A.,GREECE,GRS323003012,Financials,1482.325,14793.839,8930.726,4.191,41.827,25.25,Value derived from data provided in Environmental/CSR,353.693048488861
15960,44380,Unipol Gruppo S.p.A.,ITALY,IT0004810054,Financials,8395.0,29464.053,386327.73,0.529,1.858,24.356,Value derived from data provided in Annual Report/Financial Accounts Disclosure,15861.87895118556
15970,44381,Metrovacesa S.A.,SPAIN,ES0105122024,Real Estate,2041.089,8954.99,4913.409,12.648,55.493,30.448,Estimated data,161.372394636579
15986,44383,Imerys S.A.,FRANCE,FR0000120859,Materials,1509787.0,983995.0,4073816.459,348.739,227.289,940.993,Value derived from data provided in CDP,4329.2724
16002,44385,Bank of Greece,GREECE,GRS004013009,Financials,936.638,1260.88,28323.271,0.738,0.993,22.309,Estimated data,1269.6083
16017,44386,Piraeus Financial Holdings S.A.,GREECE,GRS014003032,Financials,2819.76,26479.666,20583.384,3.164,29.71,23.094,Value derived from data provided in CDP,891.270466659005
16033,44387,Enagas SA,SPAIN,ES0130960018,Utilities,208537.116,60429.022,384435.65,173.662,50.323,320.144,Exact Value from CDP,1200.821732706047
16046,44388,Outokumpu Oyj,FINLAND,FI0009002422,Materials,1327495.822,743609.523,3513213.858,206.551,115.702,546.638,Exact Value from CDP,6426.949299357306
16092,44393,Organization of Football Prognostics S.A.,GREECE,GRS419003009,Consumer Discretionary,1469.3,3467.0,28464.556,3.061,7.223,59.3,Value summed up from data provided in Annual Report/Financial Accounts Disclosure,480.009552142767
16105,44394,"Ebro Foods, S.A.",SPAIN,ES0112501012,Consumer Staples,234016.0,132647.0,3307338.665,70.843,40.156,1001.227,Value derived from data provided in CDP,3303.285479818657
16139,44399,Arnoldo Mondadori Editore S.p.A.,ITALY,IT0001469383,Communication Services,726.0,4132.39,67858.151,0.856,4.873,80.026,Value derived from data provided in Annual Report/Financial Accounts Disclosure,847.95381010894
16155,44400,UnipolSai Assicurazioni S.p.A.,ITALY,IT0004827447,Financials,8395.0,29463.746,382072.672,0.535,1.878,24.356,Value derived from data provided in Environmental/CSR,15687.044053999927
16168,44401,"Acerinox, S.A.",SPAIN,ES0132105018,Materials,816337.0,1952157.0,4908510.485,153.328,366.662,921.936,Value derived from data provided in Annual Report/Financial Accounts Disclosure,5324.132896697046
16184,44403,Wendel,FRANCE,FR0000121204,Financials,75359.43,16627.48,773914.472,16.628,3.669,170.759,Estimate based on partial data disclosure in Annual Report/10-K/Financial Accounts,4532.190103751642
16189,44404,Banque Nationale de Belgique,BELGIUM,BE0003008019,Financials,3093.415,3268.867,30692.602,2.248,2.376,22.309,Derived from previous year,1375.815054273003
16216,44406,MERCK Kommanditgesellschaft auf Aktien,GERMANY,DE0006599905,Health Care,1706302.0,395187.754,4239035.256,85.383,19.775,212.121,Exact Value from CDP,19984.062498001596
16231,44409,Klepierre,FRANCE,FR0000121964,Real Estate,9668.0,56417.0,48353.987,6.088,35.525,30.448,Value derived from data provided in CDP,1588.1027
16247,44411,Quadient S.A.,FRANCE,FR0000120560,Information Technology,10281.78,6699.55,119828.647,8.056,5.25,93.894,Value derived from data provided in CDP,1276.216360722093
16271,44413,Randstad N.V.,NETHERLANDS,NL0000379121,Industrials,60264.277,18122.427,447714.003,2.552,0.767,18.961,Exact Value from CDP,23612.9695
16287,44417,Permanent TSB Group Holdings Plc,IRELAND,IE00BWB8X525,Financials,481.378,2819.517,5593.7,1.92,11.245,22.309,Value derived from fuel use provided in Annual Report/Financial Accounts Disclosure,250.741091666295
16303,44419,Sudzucker AG,GERMANY,DE0007297004,Consumer Staples,334581.93,406048.495,6511812.841,45.044,54.666,876.676,Derived from previous year,7427.840098711513
16317,44422,Elisa Oyj,FINLAND,FI0009007884,Communication Services,666.05,59762.914,108616.041,0.308,27.677,50.301,Exact Value from CDP,2159.3364
16333,44423,Etn. Fr. Colruyt NV,BELGIUM,BE0974256852,Consumer Staples,29577.497,101330.422,988547.494,2.778,9.517,92.849,Value split from data provided in Annual Report/Financial Accounts Disclosure,10646.822217267823
16349,44424,Immofinanz AG,AUSTRIA,AT0000A21KS2,Real Estate,5417.416,23768.152,13041.071,12.648,55.493,30.448,Estimate used instead of disclosure - data does not cover global operations,428.311306143156
16361,44427,BP p.l.c.,UNITED KINGDOM,GB0007980591,Energy,41789417.15,3700000.0,78750644.441,232.589,20.593,438.305,Exact Value from CDP,179670.99
16399,44430,Pearson plc,UNITED KINGDOM,GB0006776081,Communication Services,7251.0,35002.309,238809.878,1.664,8.034,54.812,Exact Value from CDP,4356.8807
16415,44431,Elementis plc,UNITED KINGDOM,GB0002418548,Materials,164153.0,104078.028,212516.308,218.492,138.531,282.865,Value derived from data provided in CDP,751.30001432991
16427,44432,Novartis AG,SWITZERLAND,CH0012005267,Health Care,388149.518,490681.299,4475732.245,7.779,9.834,89.698,Value derived from data provided in CDP,49898.0
16451,44434,Renewi plc,UNITED KINGDOM,GB00BNR4T868,Industrials,317247.779,110000.0,177705.408,160.803,55.755,90.073,Estimated data,1972.9014
16467,44435,Morgan Sindall Group plc,UNITED KINGDOM,GB0008085614,Industrials,16031.14,2793.692,702923.364,4.12,0.718,180.639,Exact Value from CDP,3891.308899610869
16561,44445,British American Tobacco p.l.c.,UNITED KINGDOM,GB0002875804,Consumer Staples,342034.0,417809.653,7725661.19,10.346,12.638,233.69,Exact Value from CDP,33059.4519
16577,44447,Mitchells & Butlers Plc,UNITED KINGDOM,GB00B1FP6H53,Consumer Discretionary,79936.0,64558.0,343367.524,42.547,34.362,182.763,Value derived from data provided in Annual Report/Financial Accounts Disclosure,1878.7549
16593,44449,Vodafone Group Public Limited Company,UNITED KINGDOM,GB00BH4HKS39,Communication Services,279142.0,1664632.406,2529222.055,5.585,33.308,50.608,Exact Value from CDP,49977.05748072375
16623,44453,Centrica plc,UNITED KINGDOM,GB00B033F229,Utilities,1886420.0,40381.872,746801.584,120.076,2.57,47.536,Exact Value from CDP,15710.165662289288
16638,44454,Barclays PLC,UNITED KINGDOM,GB0031348658,Financials,18852.68,159544.113,628861.854,0.862,7.292,28.741,Value derived from data provided in Environmental/CSR,21880.595579913257
16654,44455,HSBC Holdings Plc,UNITED KINGDOM,GB0005405286,Financials,26499.0,389736.23,1004643.68,0.637,9.366,24.143,Value derived from data provided in CDP,41612.0
16673,44458,Lloyds Banking Group Plc,UNITED KINGDOM,GB0008706128,Financials,39108.0,87783.0,323699.156,2.727,6.122,22.575,Exact Value from Environmental/CSR,14339.10109856609
16701,44461,CLS Holdings plc,UNITED KINGDOM,GB00BF044593,Real Estate,4772.0,6220.0,5443.731,26.691,34.789,30.448,Value derived from data provided in Annual Report/Financial Accounts Disclosure,178.7899
16716,44462,NatWest Group plc,UNITED KINGDOM,GB00BM8PJY71,Financials,21110.0,90944.0,243237.856,2.074,8.935,23.897,Value derived from data provided in CDP,10178.4532
16732,44463,Grainger Plc,UNITED KINGDOM,GB00B04V1276,Real Estate,933.0,853.0,8282.027,3.422,3.128,30.372,Value derived from data provided in CDP,272.6848
16748,44466,French Connection Group Limited,UNITED KINGDOM,GB0033764746,Consumer Discretionary,95.0,1844.0,8179.781,0.62,12.037,53.397,Value derived from data provided in Annual Report/Financial Accounts Disclosure,153.188441500269
16778,44470,ING Groep N.V.,NETHERLANDS,NL0011821202,Financials,12000.0,16935.432,380422.402,0.704,0.993,22.309,Value derived from data provided in Annual Report/Financial Accounts Disclosure,17052.6716
16791,44471,Zurich Insurance Group AG,SWITZERLAND,CH0011075394,Financials,16436.99,28264.39,1437593.512,0.279,0.48,24.389,Value derived from data provided in CDP,58944.0
16807,44472,AXA SA,FRANCE,FR0000120628,Financials,33568.257,68213.754,3129050.4,0.262,0.533,24.437,Exact Value from CDP,128045.47713143803
16823,44476,Beazley Plc,UNITED KINGDOM,GB00BYQ0JC66,Financials,409.773,1741.346,73519.96,0.141,0.598,25.255,Derived from previous year,2911.1
16854,44479,Topps Tiles Plc,UNITED KINGDOM,GB00B18P5K83,Consumer Discretionary,5849.949,3286.444,14039.452,23.82,13.382,57.166,Value summed up from data provided in Annual Report/Financial Accounts Disclosure,245.5921
16870,44480,Homeserve Plc,UNITED KINGDOM,GB00BYYTFB60,Industrials,12022.0,1574.0,174959.131,8.354,1.094,121.581,Value derived from data provided in Annual Report/Financial Accounts Disclosure,1439.0303
16886,44481,GSK plc,UNITED KINGDOM,GB00BN7SWP63,Health Care,763072.659,494679.0,3780611.235,17.448,11.311,86.445,Value summed up from data provided in CDP,43734.25720766527
16898,44482,AstraZeneca Plc,UNITED KINGDOM,GB0009895292,Health Care,225040.867,212250.716,2404585.14,8.455,7.974,90.34,Exact Value from CDP,26617.0
16945,44490,Charles Stanley Group Limited,UNITED KINGDOM,GB0006556046,Financials,64.4,519.565,6197.565,0.295,2.376,28.347,Value derived from data provided in Annual Report/Financial Accounts Disclosure,218.631440152029
16965,44496,Hill & Smith Holdings PLC,UNITED KINGDOM,GB0004270301,Materials,52065.86,15335.66,710731.123,61.461,18.103,838.981,Exact Value from CDP,847.135699915287
16980,44497,Hornby Plc,UNITED KINGDOM,GB00B01CZ652,Consumer Discretionary,243.401,289.376,10562.431,5.061,6.017,219.625,Derived from previous year,48.093070112652
17013,44503,Oxford BioMedica Plc,UNITED KINGDOM,GB00BDFBVT43,Health Care,1645.0,1906.328,7328.272,14.62,16.943,65.13,Value summed up from data provided in Annual Report/Financial Accounts Disclosure,112.517050939896
17028,44506,Robert Walters PLC,UNITED KINGDOM,GB0008475088,Industrials,519.0,1310.131,29422.605,0.431,1.089,24.446,Value derived from data provided in Annual Report/Financial Accounts Disclosure,1203.561061683129
17044,44508,Vp Plc,UNITED KINGDOM,GB0009286963,Industrials,15738.0,2361.971,29464.997,34.121,5.121,63.882,Value derived from data provided in Annual Report/Financial Accounts Disclosure,461.2408
17093,44518,TotalEnergies SE,FRANCE,FR0000120271,Energy,35569886.0,2791597.0,29686658.041,297.149,23.321,248.001,Exact Value from CDP,119704.0
17100,44519,ABN AMRO Bank N.V.,NETHERLANDS,NL0011540547,Financials,7324.232,4675.025,140309.292,1.145,0.731,21.936,Estimate based on partial data disclosure in Environmental/CSR,6396.17628741479
17115,44520,AB Electrolux (publ),SWEDEN,SE0016589188,Consumer Discretionary,111772.288,210598.548,3776981.905,8.875,16.723,299.917,Exact Value from CDP,12593.4412
17131,44521,"Banco Bilbao Vizcaya Argentaria, S.A.",SPAIN,ES0113211835,Financials,12467.0,286936.872,392507.564,0.706,16.255,22.236,Value derived from data provided in Annual Report/Financial Accounts Disclosure,17652.17006088833
17147,44522,"Banco Santander, S.A.",SPAIN,ES0113900J37,Financials,14832.826,282216.0,839814.693,0.409,7.777,23.142,Derived from previous year,36289.06859025685
17175,44524,"Endesa, S.A.",SPAIN,ES0130670112,Utilities,10298310.0,457184.0,3146591.214,542.752,24.095,165.835,Exact Value from CDP,18974.25923278312
17191,44525,Enel SpA,ITALY,IT0003128367,Utilities,45254999.0,4990685.0,7226813.638,620.349,68.412,99.064,Exact Value from CDP,72950.82960106578
17269,44530,Nokia Oyj,FINLAND,FI0009000681,Information Technology,116268.459,380249.101,1248910.193,4.668,15.268,50.146,Exact Value from CDP,24905.42568630652
17283,44531,Volkswagen AG,GERMANY,DE0007664039,Consumer Discretionary,4335495.0,5257618.0,58348514.706,17.067,20.697,229.693,Exact Value from CDP,254028.0475745972
17310,44534,E.ON SE,GERMANY,DE000ENAG999,Utilities,3576006.628,4490311.34,12389243.868,50.915,63.933,176.397,Exact Value from CDP,70234.84812966053
17329,44536,Telefonica SA,SPAIN,ES0178430E18,Communication Services,212682.0,1396941.0,2507764.082,4.246,27.889,50.065,Exact Value from CDP,50090.08573528671
17357,44538,Credit Suisse Group AG,SWITZERLAND,CH0012138530,Financials,15650.0,96204.743,566270.36,0.7,4.305,25.337,Value derived from data provided in CDP,22349.477263553887
17373,44539,Veolia Environnement S.A.,FRANCE,FR0000124141,Utilities,25049082.956,5102610.711,2551926.021,844.988,172.128,86.085,Exact Value from CDP,29644.31779439344
17405,44543,Bayerische Motoren Werke Aktiengesellschaft,GERMANY,DE0005190003,Consumer Discretionary,644166.734,1264296.375,22729923.917,5.71,11.206,201.467,Exact Value from CDP,112822.07978871782
17421,44545,Carrefour SA,FRANCE,FR0000120172,Consumer Staples,698700.0,965100.0,8023098.004,8.52,11.768,97.833,Value derived from data provided in Annual Report/Financial Accounts Disclosure,82008.28298702632
17437,44546,Credit Agricole SA,FRANCE,FR0000045072,Financials,14475.0,45562.091,519074.274,0.707,2.225,25.346,Value derived from data provided in Annual Report/Financial Accounts Disclosure,20479.84642591382
17469,44548,Assicurazioni Generali S.p.A.,ITALY,IT0000062072,Financials,47098.832,192901.695,2259546.753,0.51,2.088,24.457,Estimate used instead of disclosure - data does not cover global operations,92386.68034191683
17485,44549,Telefonaktiebolaget LM Ericsson (publ),SWEDEN,SE0000108656,Information Technology,40007.54,156000.0,3089510.786,1.585,6.181,122.415,Exact Value from CDP,25237.925097476207
17498,44550,Munich Re AG,GERMANY,DE0008430026,Financials,46490.254,54108.05,1634534.925,0.692,0.805,24.326,Exact Value from Environmental/CSR,67192.90328278279
17512,44551,Societe Generale,FRANCE,FR0000130809,Financials,23195.0,116705.555,539240.619,1.081,5.439,25.13,Value derived from data provided in CDP,21457.73609785422
17543,44553,Koninklijke KPN N.V.,NETHERLANDS,NL0000009082,Communication Services,16781.0,273569.0,294873.185,2.777,45.271,48.797,Value derived from data provided in CDP,6042.85939855345
17571,44555,Roche Holding AG,SWITZERLAND,CH0012032048,Health Care,256815.0,329183.409,5779596.422,3.996,5.122,89.927,Value summed up from data provided in Annual Report/Financial Accounts Disclosure,64269.658151424715
17583,44557,Orange S.A.,FRANCE,FR0000133308,Communication Services,290599.308,1008608.77,2399831.149,6.032,20.936,49.813,Exact Value from Annual Report/10K/Financial Accounts Disclosure,48176.47395069508
17645,44567,Severn Trent Plc,UNITED KINGDOM,GB00B1FH8J72,Utilities,156014.0,199635.0,111706.411,66.342,84.891,47.501,Value derived from data provided in CDP,2351.657466124749
17668,44570,Atlantia SpA,ITALY,IT0003506190,Industrials,158326.98,142094.777,1650098.451,16.769,15.05,174.77,Exact Value from CDP,9441.5407
17684,44571,Corbion N.V.,NETHERLANDS,NL0010583399,Materials,113925.0,98040.108,521178.364,101.326,87.197,463.539,Value derived from data provided in CDP,1124.3457
17697,44572,Proximus PLC,BELGIUM,BE0003810273,Communication Services,26632.279,70401.991,308372.061,4.293,11.349,49.709,Exact Value from CDP,6203.561779725717
17709,44573,Eiffage SA,FRANCE,FR0000130452,Industrials,592758.714,45362.286,2317964.211,31.22,2.389,122.083,Value derived from data provided in Annual Report/Financial Accounts Disclosure,18986.796298666413
17736,44575,Grafton Group plc,IRELAND,IE00B00MZ448,Industrials,54763.0,12463.0,205259.918,17.017,3.873,63.783,Value derived from data provided in Annual Report/Financial Accounts Disclosure,3218.075256217382
17748,44576,Heineken N.V.,NETHERLANDS,NL0000009165,Consumer Staples,971851.184,755582.592,8903148.713,43.251,33.627,396.227,Exact Value from CDP,22469.8182
17764,44577,Heineken Holding N.V.,NETHERLANDS,NL0000008977,Consumer Staples,9103.801,161192.8,636953.938,0.405,7.174,28.347,Estimated data,22469.8182
